Name,Enabled,Database,Type,Label,Short label,Coalition,Era,Can target point,Can rearm,Acquisition range [m],Engagement range [m],Description,Abilities (comma separate values),Notes,ChatGPT description
A-10C_2,yes,Aircraft,Aircraft,A-10C Warthog,10,blue,Late Cold War,yes,no,,,"2 jet engine, straight wing, 1 crew, attack aircraft. Warthog",Boom AAR,"Fox 2, gun, Dumb bombs, smart bombs, rockets, ATGMs, can AAR, subsonic,",
A-20G,yes,Aircraft,Aircraft,A-20G Havoc,A20,blue,WW2,yes,no,,,"2 propeller, straight wing, 3 crew, medium attack bomber. Havoc",,"Dumb bomb, gun, subsonic,",
A-50,yes,Aircraft,Aircraft,A-50 Mainstay,A50,red,Late Cold War,no,no,,,"4 jet engine, swept wing, 15 crew. NATO reporting name: Mainstay",Airbourne early warning,"Airbourne early warning, subsonic,",
AJS37,yes,Aircraft,Aircraft,AJS37 Viggen,37,blue,Mid Cold War,yes,no,,,"Single jet engine, delta wing, 1 crew, attack aircraft. Viggen",,"Fox 2, dumb bombs, rockets and ATGMs, antiship, supersonic",
An-26B,yes,Aircraft,Aircraft,An-26B Curl,26,red,Mid Cold War,no,no,,,"2 turboprop, straight wing, 5 crew, cargo and passenger aircraft. NATO reporting name: Curl",,"Subsonic,",
An-30M,yes,Aircraft,Aircraft,An-30M Clank,30,red,Mid Cold War,no,no,,,"2 turboprop, straight wing, 7 crew, weather reseach aircraft. NATO reporting name: Clank",,"Subsonic,",
AV8BNA,yes,Aircraft,Aircraft,AV8BNA Harrier,8,blue,Late Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew, all weather, VTOL attack aircraft. Harrier",Drogue AAR,"Fox 2 and gunpod, Dumb and smart bombs, ATGMs, SEAD, can AAR, transonic,",
B-1B,yes,Aircraft,Aircraft,B-1B Lancer,1,blue,Late Cold War,yes,no,,,"4 jet engine, swing wing, 2 crew bomber. Lancer",,"dumb and smart bombs, supersonic,",
B-52H,yes,Aircraft,Aircraft,B-52H Stratofortress,52,blue,Early Cold War,yes,no,,,"8 jet engine, swept wing, 6 crew bomber. Stratofortress",,"Dumb and smart bombs, subsonic,",
Bf-109K-4,yes,Aircraft,Aircraft,Bf-109K-4 Fritz,109,red,WW2,yes,no,,,"Single propeller, straight wing, 1 crew. 109",,"Guns, Subsonic,",
C-101CC,yes,Aircraft,Aircraft,C-101CC,101,blue,Late Cold War,yes,no,,,"Single jet engine, swept wing, 2 crew, light attack trainer. Aviojet",,"Fox 2, Dumb bombs, rockets, gunpod, subsonic,",
C-130,yes,Aircraft,Aircraft,C-130 Hercules,130,blue,Early Cold War,no,no,,,"4 turboprop, stright wing, 3 crew. Hercules",,Subsonic,
C-17A,yes,Aircraft,Aircraft,C-17A Globemaster,C17,blue,Modern,no,no,,,"4 jet engine, swept wing, 3 crew. Globemaster",,Subsonic,
E-2C,yes,Aircraft,Aircraft,E-2C Hawkeye,2C,blue,Mid Cold War,no,no,,,"2 turboprop, straight wing, 5 crew. Hawkeye",Airbourne early warning,Subsonic,
E-3A,yes,Aircraft,Aircraft,E-3A Sentry,E3,blue,Mid Cold War,no,no,,,"4 jet engine, swept wing, 17 crew. Sentry",Airbourne early warning,Subsonic,
F-117A,yes,Aircraft,Aircraft,F-117A Nighthawk,117,blue,Late Cold War,yes,no,,,"2 jet engine, delta wing, 1 crew. Nighthawk",,"Smart bombs, Subsonic",
F-14A-135-GR,yes,Aircraft,Aircraft,F-14A-135-GR Tomcat,14A,blue,Mid Cold War,yes,no,,,"2 Jet engine, swing wing, 2 crew. Tomcat",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs, laser bombs and rockets, Can AAR, supersonic",
F-14B,yes,Aircraft,Aircraft,F-14B Tomcat,14B,blue,Late Cold War,yes,no,,,"2 Jet engine, swing wing, 2 crew. Tomcat",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs, laser bombs and rockets, Can AAR, supersonic",
F-15C,yes,Aircraft,Aircraft,F-15C Eagle,15,blue,Late Cold War,yes,no,,,"2 Jet engine, swept wing, 2 crew, all weather fighter. Eagle.",Boom AAR,"Fox 1,2,3, Gun, Can AAR, supersonic",
F-15E,yes,Aircraft,Aircraft,F-15E Strike Eagle,15,blue,Late Cold War,yes,no,,,"2 Jet engine, swept wing, 2 crew, all weather fighter and strike. Strike Eagle.",Boom AAR,"Fox 1,2,3, Gun, Dumb bombs, smart bombs, standoff, Can AAR, supersonic",
F-16C_50,yes,Aircraft,Aircraft,F-16C Viper,16,blue,Late Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew, all weather fighter and strike. Viper.",Boom AAR,"Fox 2, 3 and gun, Dumb and smart bombs, rockets and ATGMs, standoff, Can AAR, supersonic,",
F-4E,yes,Aircraft,Aircraft,F-4E Phantom II,4,blue,Mid Cold War,yes,no,,,"2 Jet engine, swept wing, 2 crew. Phantom",Drogue AAR,"Fox 1,2, and Gun, Dumb bombs, laser bombs and rockets, Can AAR, supersonic",
F-5E-3,yes,Aircraft,Aircraft,F-5E Tiger,5,blue,Mid Cold War,yes,no,,,"2 Jet engine, swept wing, single crew. Tiger",,"Fox 1,2, and Gun, Dumb bombs, laser bombs and rockets, supersonic",
F-86F Sabre,yes,Aircraft,Aircraft,F-86F Sabre,86,blue,Early Cold War,yes,no,,,"Single engine, swept wing, 1 crew. Sabre",,"Fox 2 and Gun, Dumb bombs and rockets, Transonic",
FA-18C_hornet,yes,Aircraft,Aircraft,F/A-18C,18,blue,Late Cold War,yes,no,,,"2 Jet engine, swept wing, 1 crew, fighter and strike. Hornet",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs and smart bombs, rockets and ATGMs, antiship, SEAD, standoff, Can AAR, Supersonic",
FW-190A8,yes,Aircraft,Aircraft,FW-190A8 Bosch,190A8,red,WW2,yes,no,,,"Single propellor, straight wing, 1 crew. Shrike",,"Guns, dumb bombs and rockets, Subsonic",
FW-190D9,yes,Aircraft,Aircraft,FW-190D9 Jerry,190D9,red,WW2,yes,no,,,"Single propellor, straight wing, 1 crew. Shrike",,"Guns, dumb bombs and rockets, Subsonic",
H-6J,yes,Aircraft,Aircraft,H-6J Badger,H6,red,Mid Cold War,yes,no,,,"2 jet engine, swept wing, 4 crew bomber. Badger",,"Dumb bombs, standoff, antiship, Subsonic",
I-16,yes,Aircraft,Aircraft,I-16,I16,red,WW2,yes,no,,,"Single propellor, straight wing, 1 crew. Ishak",,"Guns, dumb bombs and rockets, Subsonic",
IL-76MD,yes,Aircraft,Aircraft,IL-76MD Candid,76,red,Mid Cold War,no,no,,,"4 jet engine, swept wing, 5 crew. Cargo and passenger aircraft. NATO reporting name: Candid",,Subsonic,
IL-78M,yes,Aircraft,Aircraft,IL-78M Midas,78,red,Late Cold War,no,no,,,"4 jet engine, swept wing, 6 crew. Tanker aircraft. NATO reporting name: Midas","Tanker, Drogue AAR","Droge tanker, Subsonic",
J-11A,yes,Aircraft,Aircraft,J-11A Flaming Dragon,11,red,Modern,yes,no,,,"2 Jet engine, swept wing, 1 crew, fighter and strike. NATO reporting name: Flanker",,"Fox 1, 2, 3, and Gun, Dumb bombs and rockets, Supersonic",
JF-17,yes,Aircraft,Aircraft,JF-17 Thunder,17,red,Modern,yes,no,,,"Single jet engine, swept wing, 1 crew, fighter and strike. Geoff",Drogue AAR,"Fox 1,2,3, Gun, Dumb bombs and smart bombs, rockets and ATGMs, antiship, SEAD, standoff, Can AAR, Supersonic",
KC-135,yes,Aircraft,Aircraft,KC-135 Stratotanker,35,blue,Early Cold War,no,no,,,"4 jet engine, swept wing, 3 crew. Tanker aircraft. Stratotanker","Tanker, Boom AAR","Boom tanker, Subsonic",
KC135MPRS,yes,Aircraft,Aircraft,KC-135 MPRS Stratotanker,35M,blue,Early Cold War,no,no,,,"4 jet engine, swept wing, 3 crew. Tanker aircraft. Stratotanker","Tanker, Drogue AAR","Droge tanker, Subsonic",
L-39ZA,yes,Aircraft,Aircraft,L-39ZA,39,red,Mid Cold War,yes,no,,,"Single jet engine, swept wing, 2 crew, light attack trainer. Aviojet",,"Fox 2, Dumb bombs, rockets, gunpod, subsonic,",
M-2000C,yes,Aircraft,Aircraft,M-2000C Mirage,M2,blue,Late Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew, fighter and strike.",Drogue AAR,"Fox 1, 2, gun, Dumb bombs and laser bombs, Can AAR Supersonic",
MB-339A,yes,Aircraft,Aircraft,MB-339A,39,blue,Mid Cold War,yes,no,,,"Single jet engine, swept wing, 2 crew, light attack trainer. Aviojet",,"Fox 2, Dumb bombs, rockets, gunpod, subsonic,",
MiG-15bis,yes,Aircraft,Aircraft,MiG-15 Fagot,M15,red,Early Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew. Fagot",,"Gun, Dumb bombs, Transonic",
MiG-19P,yes,Aircraft,Aircraft,MiG-19 Farmer,19,red,Early Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew. Farmer",,"Fox 2, gun, Dumb bombs and rockets, Supersonic",
MiG-21Bis,yes,Aircraft,Aircraft,MiG-21 Fishbed,21,red,Mid Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew. Fishbed",,"Fox 1, fox 2, gun, Dumb bombs, nukes, ATGMs, and rockets, Supersonic",
MiG-23MLD,yes,Aircraft,Aircraft,MiG-23 Flogger,23,red,Mid Cold War,yes,no,,,"Single jet engine, swing wing, 1 crew. Flogger",,"Fox1, fox 2, gun, Dumb bombs and rockets, Supersonic",
MiG-25PD,yes,Aircraft,Aircraft,MiG-25PD Foxbat,25,red,Mid Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Foxbat",,"Fox1, fox 2, Supersonic",
MiG-25RBT,yes,Aircraft,Aircraft,MiG-25RBT Foxbat,25,red,Mid Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Foxbat",,"Fox 2, Dumb bombs, Supersonic",
MiG-27K,yes,Aircraft,Aircraft,MiG-27K Flogger-D,27,red,Mid Cold War,yes,no,,,"Single jet engine, swing wing, 1 crew. Flogger",,"Fox 2 and gun, Dumb bombs and laser bombs, ATGMs, SEAD, Rockets, Supersonic",
MiG-29A,yes,Aircraft,Aircraft,MiG-29A Fulcrum,29A,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Flanker",Drogue AAR,"Fox 1 and fox 2, Gun, Dumb bombs, Rockets, Can AAR, Supersonic",
MiG-29S,yes,Aircraft,Aircraft,MiG-29S Fulcrum,29S,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Flanker",Drogue AAR,"Fox 1 and fox 2, Gun, Dumb bombs, Rockets, Can AAR, Supersonic",
MiG-31,yes,Aircraft,Aircraft,MiG-31 Foxhound,31,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 2 crew. Foxhound",Drogue AAR,"Fox 1 and fox 2, Gun, Can AAR, Supersonic",
Mirage-F1EE,yes,Aircraft,Aircraft,Mirage-F1EE,F1EE,blue,Mid Cold War,yes,no,,,"Single Jet engine, swept wing, 1 crew.",Drogue AAR,"Fox 1, fox 2, and gun, Dumb and laser bombs, and rockets, Can AAR, Supersonic",
MosquitoFBMkVI,yes,Aircraft,Aircraft,Mosquito FB MkVI,Mo,blue,WW2,yes,no,,,"2 propeller, straight wing, 2 crew. Mosquito.",,"Gun, dumb bomb, and rockets, Subsonic",
MQ-9 Reaper,yes,Aircraft,Aircraft,MQ-9 Reaper,9,blue,Modern,yes,no,,,"Single turboprop, straight wing, attack aircraft. Reaper",,"Laser bombs, smart bombs, ATGMs, subsonic",
P-47D-40,yes,Aircraft,Aircraft,P-47D Thunderbolt,P47,blue,WW2,yes,no,,,"Single propellor, straight wing, 1 crew. Thunderbolt",,"Gun, dumb bomb, and rockets, Subsonic",
P-51D-30-NA,yes,Aircraft,Aircraft,P-51D Mustang,P51,blue,WW2,yes,no,,,"Single propellor, straight wing, 1 crew. Mustang",,"Gun, dumb bomb, and rockets, Subsonic",
S-3B Tanker,yes,Aircraft,Aircraft,S-3B Tanker,S3B,blue,Early Cold War,no,no,,,"2 jet engine, straight wing, 4 crew. Viking","Tanker, Drogue AAR",Subsonic,
Su-17M4,yes,Aircraft,Aircraft,Su-17M4 Fitter,17M,red,Mid Cold War,yes,no,,,"Single jet engine, swept wing, 1 crew. Fitter",,"Fox 2 and gun, dumb bombs and rockets, Transonic",
Su-24M,yes,Aircraft,Aircraft,Su-24M Fencer,24,red,Mid Cold War,yes,no,,,"2 jet engine, swing wing, 2 crew. Fencer",,"Fox 2 and gun, Dumb and laser bombs, and rockets, Supersonic",
Su-25,yes,Aircraft,Aircraft,Su-25A Frogfoot,S25,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Frogfoot",,"Fox 2 and gun, Dumb bombs, rockets, and ATGMs, Subsonic",
Su-25,yes,Aircraft,Aircraft,Su-25T Frogfoot,S25,red,Late Cold War,yes,no,,,"2 jet engine, swept wing, 1 crew. Frogfoot",,"Fox 2 and gun, Dumb bombs, rockets, SEAD and ATGMs, Subsonic",
